Language	Language (local)	Wiki	Articles	Total	Edits	Admins	Users	Active Users	Images	Depth
Interlingue	Interlingue	ie	3,927	6,520	118,992	0	11,410	25	0	7.96
Norman	Nouormand	nrm	3,886	8,797	207,516	0	9,186	12	0	37.67
Uyghur	ئۇيغۇرچە / Uyghurche	ug	3,882	11,683	144,285	1	13,818	18	295	49.87
Cornish	kernowek	kw	3,806	7,648	172,834	0	9,653	17	0	23.03
Ladino	Ladino	lad	3,796	12,903	202,198	4	14,250	28	23	90.2
Picard	Picard	pcd	3,656	8,033	55,988	1	8,667	19	52	9.99
Mirandese	Mirandés	mwl	3,600	9,618	93,233	2	8,991	19	0	27.09
Shona	chiShona	sn	3,559	9,784	57,506	0	8,335	18	0	17.98
Guarani	Avañe'ẽ	gn	3,515	8,416	105,953	1	11,271	20	0	24.48
Romansh	rumantsch	rm	3,505	8,295	154,143	3	12,134	24	51	34.71
Konkani	गोंयची कोंकणी / Gõychi Konknni	gom	3,504	7,679	172,538	1	4,141	10	0	31.9
Komi-Permyak	Перем Коми	koi	3,448	7,840	54,495	0	5,791	11	0	11.28
Abkhazian	Аҧсшәа	ab	3,408	11,338	72,770	1	12,257	15	2	34.75
Ligurian	Ligure	lij	3,389	14,742	157,783	2	9,139	17	0	120.11
Maltese	Malti	mt	3,300	14,992	250,316	3	14,447	24	1,166	209.59
Friulian	furlan	fur	3,210	7,338	163,713	1	9,725	13	319	36.9
Lower Sorbian	dolnoserbski	dsb	3,180	10,626	134,545	2	13,096	25	0	69.42
Divehi	ދިވެހިބަސް	dv	3,026	10,471	120,221	1	18,311	16	933	69.5
Anglo-Saxon	Ænglisc	ang	3,014	14,258	191,940	1	91,839	32	300	187.35
Franco-Provençal	arpetan	frp	3,004	7,615	185,975	2	10,326	22	0	57.54
Lingala	lingála	ln	3,000	7,905	118,164	2	8,287	13	28	39.96
Chavacano	Chavacano de Zamboanga	cbk-zam	2,966	5,252	97,396	1	10,429	10	1	11.02
Kabyle	Taqbaylit	kab	2,950	11,102	72,382	1	7,955	22	0	49.79
Extremaduran	estremeñu	ext	2,925	6,816	108,318	0	11,858	14	0	28.12
Doteli	डोटेली	dty	2,870	8,966	100,437	1	1,903	14	1	——
Ripuarian	Ripoarisch	ksh	2,836	10,295	1,599,871	2	16,387	15	0	1075
Lao	ລາວ	lo	2,832	8,361	65,047	0	10,099	24	0	29.65
Gagauz	Gagauz	gag	2,758	6,230	62,730	0	8,159	11	0	15.96
Livvi-Karelian	Livvinkarjala	olo	2,587	4,504	20,379	1	3,035	19	0	——
